device_id,timestamp,voltage,current,power,energy,frequency,power_factor
1,2025-04-27 22:35:16+05:30,233.3,0.215,50.2,1.293,49.7,0.8
1,2025-04-27 22:35:17+05:30,233.7,0.247,57.7,1.309,49.8,0.96
1,2025-04-27 22:35:18+05:30,234.0,0.505,118.2,1.342,49.9,0.99
1,2025-04-27 22:35:19+05:30,233.3,0.314,73.3,1.362,49.7,0.97
1,2025-04-27 22:35:20+05:30,233.4,0.309,72.1,1.382,49.7,0.87
1,2025-04-27 22:35:21+05:30,232.9,0.198,46.1,1.395,49.9,0.95
1,2025-04-27 22:35:22+05:30,232.9,0.304,70.8,1.415,49.7,0.97
1,2025-04-27 22:35:23+05:30,233.9,0.446,104.3,1.444,49.8,0.93
1,2025-04-27 22:35:24+05:30,234.2,0.41,96.0,1.47,49.8,0.89
1,2025-04-27 22:35:25+05:30,233.5,0.431,100.6,1.498,49.9,1.0
1,2025-04-27 22:35:26+05:30,234.0,0.23,53.8,1.513,49.8,0.89
1,2025-04-27 22:35:27+05:30,233.7,0.228,53.3,1.528,49.8,0.97
1,2025-04-27 22:35:28+05:30,233.2,0.463,108.0,1.558,49.7,0.95
1,2025-04-27 22:35:29+05:30,233.7,0.433,101.2,1.586,50.0,1.0
1,2025-04-27 22:35:30+05:30,234.3,0.324,75.9,1.607,49.8,1.0
1,2025-04-27 22:35:31+05:30,233.5,0.435,101.6,1.635,49.8,0.92
1,2025-04-27 22:35:32+05:30,234.3,0.23,53.9,1.65,49.8,0.89
1,2025-04-27 22:35:33+05:30,232.2,0.226,52.5,1.665,49.9,0.96
1,2025-04-27 22:35:34+05:30,233.9,0.188,44.0,1.677,49.7,0.95
1,2025-04-27 22:35:35+05:30,233.5,0.386,90.1,1.702,49.8,0.98
1,2025-04-27 22:35:36+05:30,233.4,0.372,86.8,1.726,49.7,0.91
1,2025-04-27 22:35:37+05:30,233.5,0.298,69.6,1.746,49.7,0.91
1,2025-04-27 22:35:38+05:30,232.5,0.272,63.2,1.763,49.9,0.95
1,2025-04-27 22:35:39+05:30,233.4,0.591,137.9,1.802,49.9,0.97
1,2025-04-27 22:35:40+05:30,233.7,0.324,75.7,1.823,49.9,0.89
1,2025-04-27 22:35:41+05:30,234.2,0.489,114.5,1.854,49.7,0.94
1,2025-04-27 22:35:42+05:30,233.2,0.335,78.1,1.876,49.8,0.95
1,2025-04-27 22:35:43+05:30,233.1,0.3,69.9,1.895,49.7,0.98
1,2025-04-27 22:35:44+05:30,233.2,0.492,114.7,1.927,49.9,0.95
1,2025-04-27 22:35:45+05:30,234.0,0.429,100.4,1.955,49.7,1.0
1,2025-04-27 22:35:46+05:30,233.7,0.348,81.3,1.978,49.7,0.98
1,2025-04-27 22:35:47+05:30,233.2,0.463,108.0,2.008,49.8,0.86
1,2025-04-27 22:35:48+05:30,233.8,0.602,140.7,2.047,49.9,0.94
1,2025-04-27 22:35:49+05:30,233.5,0.277,64.7,2.065,49.9,1.0
1,2025-04-27 22:35:50+05:30,234.0,0.397,92.9,2.091,49.9,0.9
1,2025-04-27 22:35:51+05:30,233.1,0.309,72.0,2.111,49.9,0.96
1,2025-04-27 22:35:52+05:30,233.3,0.257,60.0,2.127,50.0,0.97
1,2025-04-27 22:35:53+05:30,233.3,0.254,59.3,2.144,49.8,0.96
1,2025-04-27 22:35:54+05:30,232.8,0.509,118.5,2.177,49.8,0.93
1,2025-04-27 22:35:55+05:30,233.6,0.168,39.2,2.188,49.7,0.95
1,2025-04-27 22:35:56+05:30,233.6,0.401,93.7,2.214,49.9,0.92
1,2025-04-27 22:35:57+05:30,233.5,0.267,62.3,2.231,49.8,0.91
1,2025-04-27 22:35:58+05:30,233.4,0.527,123.0,2.265,49.7,1.0
1,2025-04-27 22:35:59+05:30,232.8,0.323,75.2,2.286,49.9,0.93
1,2025-04-27 22:36:00+05:30,233.3,0.314,73.3,2.306,49.7,1.0
1,2025-04-27 22:36:01+05:30,233.3,0.507,118.3,2.339,49.7,0.88
1,2025-04-27 22:36:02+05:30,233.1,0.438,102.1,2.368,49.8,0.96
1,2025-04-27 22:36:03+05:30,233.4,0.405,94.5,2.394,49.9,0.91
1,2025-04-27 22:36:04+05:30,233.7,0.431,100.7,2.422,49.8,0.99
1,2025-04-27 22:36:05+05:30,234.4,0.242,56.7,2.438,49.8,0.89
1,2025-04-27 22:36:06+05:30,233.6,0.424,99.0,2.465,49.9,1.0
1,2025-04-27 22:36:07+05:30,233.6,0.33,77.1,2.486,49.9,0.99
1,2025-04-27 22:36:08+05:30,233.5,0.386,90.1,2.512,49.6,0.9
1,2025-04-27 22:36:09+05:30,232.5,0.398,92.5,2.537,49.9,0.93
1,2025-04-27 22:36:10+05:30,233.5,0.239,55.8,2.553,49.8,0.97
1,2025-04-27 22:36:11+05:30,233.5,0.409,95.5,2.579,49.7,1.0
1,2025-04-27 22:36:12+05:30,234.7,0.331,77.7,2.601,49.8,0.98
1,2025-04-27 22:36:13+05:30,233.4,0.226,52.7,2.615,49.7,0.94
1,2025-04-27 22:36:14+05:30,233.7,0.335,78.3,2.637,50.1,1.0
1,2025-04-27 22:36:15+05:30,233.5,0.352,82.2,2.66,49.7,1.0
1,2025-04-27 22:36:16+05:30,232.9,0.409,95.3,2.687,49.7,0.9
1,2025-04-27 22:36:17+05:30,234.1,0.111,26.0,2.694,49.8,0.95
1,2025-04-27 22:36:18+05:30,233.9,0.389,91.0,2.719,49.7,1.0
1,2025-04-27 22:36:19+05:30,233.9,0.299,69.9,2.738,49.8,0.97
1,2025-04-27 22:36:20+05:30,233.0,0.431,100.4,2.766,50.0,0.95
1,2025-04-27 22:36:21+05:30,234.2,0.35,82.0,2.789,49.8,0.93
1,2025-04-27 22:36:22+05:30,232.8,0.317,73.8,2.81,49.8,0.9
1,2025-04-27 22:36:23+05:30,233.8,0.332,77.6,2.831,49.8,0.95
1,2025-04-27 22:36:24+05:30,234.6,0.383,89.9,2.856,49.7,0.94
1,2025-04-27 22:36:25+05:30,233.0,0.441,102.8,2.885,49.8,0.88
1,2025-04-27 22:36:26+05:30,233.2,0.261,60.9,2.902,49.9,0.91
1,2025-04-27 22:36:27+05:30,233.5,0.316,73.8,2.922,49.9,1.0
1,2025-04-27 22:36:28+05:30,233.2,0.497,115.9,2.954,49.8,0.89
1,2025-04-27 22:36:29+05:30,232.7,0.314,73.1,2.975,49.9,0.94
1,2025-04-27 22:36:30+05:30,233.5,0.387,90.4,3.0,49.7,0.97
1,2025-04-27 22:36:31+05:30,233.0,0.227,52.9,3.014,49.7,0.98
1,2025-04-27 22:36:32+05:30,233.7,0.179,41.8,3.026,49.6,1.0
1,2025-04-27 22:36:33+05:30,233.0,0.246,57.3,3.042,49.9,0.93
1,2025-04-27 22:36:34+05:30,234.3,0.281,65.8,3.06,49.7,0.95
1,2025-04-27 22:36:35+05:30,233.1,0.454,105.8,3.09,49.7,1.0
1,2025-04-27 22:36:36+05:30,233.3,0.465,108.5,3.12,49.9,0.92
1,2025-04-27 22:36:37+05:30,233.9,0.157,36.7,3.13,49.9,0.95
1,2025-04-27 22:36:38+05:30,232.9,0.296,68.9,3.149,49.8,0.96
1,2025-04-27 22:36:39+05:30,233.6,0.42,98.1,3.176,49.6,0.94
1,2025-04-27 22:36:40+05:30,234.2,0.339,79.4,3.198,49.8,1.0
1,2025-04-27 22:36:41+05:30,232.7,0.5,116.4,3.231,49.8,0.83
1,2025-04-27 22:36:42+05:30,233.6,0.417,97.4,3.258,49.9,0.93
1,2025-04-27 22:36:43+05:30,233.6,0.323,75.5,3.279,49.9,0.99
1,2025-04-27 22:36:44+05:30,233.9,0.332,77.7,3.3,49.8,0.9
1,2025-04-27 22:36:45+05:30,232.9,0.344,80.1,3.323,49.8,0.91
1,2025-04-27 22:36:46+05:30,232.8,0.265,61.7,3.34,49.9,0.93
1,2025-04-27 22:36:47+05:30,233.8,0.444,103.8,3.369,49.7,1.0
1,2025-04-27 22:36:48+05:30,233.6,0.424,99.0,3.396,49.7,0.96
1,2025-04-27 22:36:49+05:30,233.6,0.395,92.3,3.422,49.7,0.94
1,2025-04-27 22:36:50+05:30,233.7,0.374,87.4,3.446,49.8,0.89
1,2025-04-27 22:36:51+05:30,233.2,0.248,57.8,3.462,49.7,0.96
1,2025-04-27 22:36:52+05:30,233.6,0.4,93.4,3.488,49.9,0.88
1,2025-04-27 22:36:53+05:30,233.6,0.363,84.8,3.511,49.7,0.84
1,2025-04-27 22:36:54+05:30,233.1,0.55,128.2,3.547,49.5,0.93
1,2025-04-27 22:36:55+05:30,234.4,0.221,51.8,3.561,49.9,0.83
1,2025-04-27 22:36:56+05:30,233.7,0.278,65.0,3.58,49.9,0.94
1,2025-04-27 22:36:57+05:30,232.9,0.191,44.5,3.592,49.8,1.0
1,2025-04-27 22:36:58+05:30,233.8,0.328,76.7,3.613,49.8,1.0
1,2025-04-27 22:36:59+05:30,233.0,0.176,41.0,3.625,49.8,0.99
1,2025-04-27 22:37:00+05:30,233.9,0.469,109.7,3.655,49.9,1.0
1,2025-04-27 22:37:01+05:30,234.1,0.459,107.5,3.685,49.7,0.93
1,2025-04-27 22:37:02+05:30,233.1,0.334,77.9,3.707,50.0,0.91
1,2025-04-27 22:37:03+05:30,234.0,0.249,58.3,3.723,49.9,0.97
1,2025-04-27 22:37:04+05:30,233.7,0.198,46.3,3.736,49.7,0.99
1,2025-04-27 22:37:05+05:30,233.9,0.28,65.5,3.754,49.7,0.97
1,2025-04-27 22:37:06+05:30,234.4,0.413,96.8,3.781,49.8,0.95
1,2025-04-27 22:37:07+05:30,233.4,0.271,63.3,3.798,49.7,0.89
1,2025-04-27 22:37:08+05:30,233.1,0.541,126.1,3.833,49.8,0.85
1,2025-04-27 22:37:09+05:30,233.1,0.499,116.3,3.866,49.9,0.95
1,2025-04-27 22:37:10+05:30,233.1,0.35,81.6,3.888,49.8,1.0
1,2025-04-27 22:37:11+05:30,233.5,0.304,71.0,3.908,50.0,0.89
1,2025-04-27 22:37:12+05:30,233.7,0.293,68.5,3.927,49.7,0.97
1,2025-04-27 22:37:13+05:30,233.6,0.51,119.1,3.96,49.8,0.98
1,2025-04-27 22:37:14+05:30,233.9,0.284,66.4,3.979,49.7,0.97
1,2025-04-27 22:37:15+05:30,233.5,0.443,103.4,4.007,49.8,0.9
1,2025-04-27 22:37:16+05:30,234.2,0.352,82.4,4.03,49.9,0.86
1,2025-04-27 22:37:17+05:30,233.4,0.421,98.3,4.057,49.7,0.9
1,2025-04-27 22:37:18+05:30,234.9,0.268,63.0,4.075,49.7,0.96
1,2025-04-27 22:37:19+05:30,233.8,0.317,74.1,4.096,49.8,0.91
1,2025-04-27 22:37:20+05:30,233.1,0.348,81.1,4.118,49.7,0.94
1,2025-04-27 22:37:21+05:30,233.0,0.287,66.9,4.137,49.7,0.94
1,2025-04-27 22:37:22+05:30,233.7,0.475,111.0,4.168,49.9,0.93
1,2025-04-27 22:37:23+05:30,233.4,0.274,64.0,4.185,49.8,0.96
1,2025-04-27 22:37:24+05:30,233.9,0.292,68.3,4.204,49.9,0.9
1,2025-04-27 22:37:25+05:30,233.7,0.486,113.6,4.236,49.9,0.98
1,2025-04-27 22:37:26+05:30,233.5,0.466,108.8,4.266,49.9,0.9
1,2025-04-27 22:37:27+05:30,233.1,0.509,118.6,4.299,49.7,0.96
1,2025-04-27 22:37:28+05:30,232.7,0.159,37.0,4.309,49.8,0.92
1,2025-04-27 22:37:29+05:30,233.3,0.37,86.3,4.333,49.9,0.92
1,2025-04-27 22:37:30+05:30,233.9,0.359,84.0,4.357,49.7,0.95
1,2025-04-27 22:37:31+05:30,233.6,0.294,68.7,4.376,49.9,0.94
1,2025-04-27 22:37:32+05:30,232.9,0.382,89.0,4.4,49.7,0.96
1,2025-04-27 22:37:33+05:30,233.6,0.318,74.3,4.421,49.9,0.97
1,2025-04-27 22:37:34+05:30,233.7,0.366,85.5,4.445,49.8,0.85
1,2025-04-27 22:37:35+05:30,233.1,0.69,160.8,4.489,49.9,0.97
1,2025-04-27 22:37:36+05:30,233.6,0.382,89.2,4.514,49.8,0.97
1,2025-04-27 22:37:37+05:30,233.5,0.386,90.1,4.539,49.7,0.95
1,2025-04-27 22:37:38+05:30,232.9,0.432,100.6,4.567,49.9,0.99
1,2025-04-27 22:37:39+05:30,233.7,0.368,86.0,4.591,49.6,0.97
1,2025-04-27 22:37:40+05:30,233.8,0.24,56.1,4.607,49.8,0.89
1,2025-04-27 22:37:41+05:30,234.0,0.185,43.3,4.619,49.8,1.0
1,2025-04-27 22:37:42+05:30,234.0,0.347,81.2,4.641,49.8,0.97
1,2025-04-27 22:37:43+05:30,232.8,0.323,75.2,4.662,49.5,0.89
1,2025-04-27 22:37:44+05:30,233.0,0.154,35.9,4.672,49.8,0.92
1,2025-04-27 22:37:45+05:30,233.8,0.513,119.9,4.705,49.8,0.93
1,2025-04-27 22:37:46+05:30,233.8,0.361,84.4,4.729,49.7,0.97
1,2025-04-27 22:37:47+05:30,233.8,0.494,115.5,4.761,49.8,0.99
1,2025-04-27 22:37:48+05:30,235.4,0.127,29.9,4.769,49.8,0.96
1,2025-04-27 22:37:49+05:30,233.8,0.496,116.0,4.801,49.9,0.97
1,2025-04-27 22:37:50+05:30,234.1,0.301,70.5,4.821,49.6,0.97
1,2025-04-27 22:37:51+05:30,234.0,0.476,111.4,4.852,49.8,0.84
1,2025-04-27 22:37:52+05:30,233.8,0.371,86.7,4.876,49.8,0.9
1,2025-04-27 22:37:53+05:30,233.3,0.395,92.2,4.902,49.9,0.83
1,2025-04-27 22:37:54+05:30,233.9,0.395,92.4,4.927,49.8,0.91
1,2025-04-27 22:37:55+05:30,233.1,0.307,71.6,4.947,49.9,0.94
1,2025-04-27 22:37:56+05:30,233.4,0.285,66.5,4.966,49.8,0.88
1,2025-04-27 22:37:57+05:30,233.3,0.314,73.3,4.986,49.9,0.93
1,2025-04-27 22:37:58+05:30,233.5,0.203,47.4,4.999,49.7,0.97
1,2025-04-27 22:37:59+05:30,234.7,0.302,70.9,5.019,49.7,0.96
1,2025-04-27 22:38:00+05:30,232.6,0.28,65.1,5.037,49.8,0.92
1,2025-04-27 22:38:01+05:30,233.8,0.2,46.8,5.05,49.9,0.9
1,2025-04-27 22:38:02+05:30,232.7,0.396,92.1,5.076,49.9,0.98
1,2025-04-27 22:38:03+05:30,233.3,0.351,81.9,5.098,49.8,0.98
1,2025-04-27 22:38:04+05:30,234.0,0.375,87.8,5.123,49.8,1.0
1,2025-04-27 22:38:05+05:30,233.5,0.42,98.1,5.15,49.8,0.91
1,2025-04-27 22:38:06+05:30,233.0,0.326,76.0,5.171,49.7,0.86
1,2025-04-27 22:38:07+05:30,233.1,0.256,59.7,5.188,49.7,0.97
1,2025-04-27 22:38:08+05:30,233.8,0.38,88.8,5.212,49.9,0.85
1,2025-04-27 22:38:09+05:30,233.1,0.058,13.5,5.216,49.8,0.95
1,2025-04-27 22:38:10+05:30,233.6,0.339,79.2,5.238,49.7,0.89
1,2025-04-27 22:38:11+05:30,233.5,0.427,99.7,5.266,49.7,0.94
1,2025-04-27 22:38:12+05:30,233.2,0.455,106.1,5.295,49.8,0.88
1,2025-04-27 22:38:13+05:30,234.6,0.297,69.7,5.315,50.0,0.92
1,2025-04-27 22:38:14+05:30,233.8,0.126,29.5,5.323,49.9,0.91
1,2025-04-27 22:38:15+05:30,232.5,0.087,20.2,5.328,49.7,0.96
1,2025-04-27 22:38:16+05:30,233.6,0.414,96.7,5.355,49.9,1.0
1,2025-04-27 22:38:17+05:30,233.2,0.315,73.5,5.376,49.7,0.97
1,2025-04-27 22:38:18+05:30,233.9,0.552,129.1,5.412,49.7,0.93
1,2025-04-27 22:38:19+05:30,233.1,0.209,48.7,5.425,49.8,1.0
1,2025-04-27 22:38:20+05:30,233.4,0.384,89.6,5.45,49.7,0.97
1,2025-04-27 22:38:21+05:30,233.8,0.516,120.6,5.483,49.9,0.83
1,2025-04-27 22:38:22+05:30,233.9,0.371,86.8,5.508,49.7,0.92
1,2025-04-27 22:38:23+05:30,232.9,0.191,44.5,5.52,49.6,0.92
1,2025-04-27 22:38:24+05:30,233.3,0.627,146.3,5.561,49.7,0.93
1,2025-04-27 22:38:25+05:30,233.3,0.508,118.5,5.594,49.8,0.93
1,2025-04-27 22:38:26+05:30,233.2,0.327,76.3,5.615,49.6,0.93
1,2025-04-27 22:38:27+05:30,234.4,0.432,101.3,5.643,49.8,1.0
1,2025-04-27 22:38:28+05:30,233.7,0.433,101.2,5.671,49.7,1.0
1,2025-04-27 22:38:29+05:30,232.9,0.414,96.4,5.698,49.9,0.95
1,2025-04-27 22:38:30+05:30,234.0,0.212,49.6,5.712,49.8,0.95
1,2025-04-27 22:38:31+05:30,234.6,0.382,89.6,5.736,49.8,1.0
1,2025-04-27 22:38:32+05:30,234.0,0.496,116.1,5.769,49.6,0.86
1,2025-04-27 22:38:33+05:30,232.7,0.4,93.1,5.795,49.7,0.9
1,2025-04-27 22:38:34+05:30,233.3,0.39,91.0,5.82,49.7,0.94
1,2025-04-27 22:38:35+05:30,234.1,0.296,69.3,5.839,49.8,0.94
1,2025-04-27 22:38:36+05:30,233.1,0.26,60.6,5.856,50.0,0.98
1,2025-04-27 22:38:37+05:30,233.7,0.193,45.1,5.868,49.8,0.93
1,2025-04-27 22:38:38+05:30,233.9,0.426,99.6,5.896,49.8,0.96
1,2025-04-27 22:38:39+05:30,233.0,0.328,76.4,5.917,49.9,1.0
1,2025-04-27 22:38:40+05:30,233.5,0.216,50.4,5.931,49.8,0.99
1,2025-04-27 22:38:41+05:30,231.9,0.448,103.9,5.96,49.8,1.0
1,2025-04-27 22:38:42+05:30,233.0,0.291,67.8,5.979,50.0,0.93
1,2025-04-27 22:38:43+05:30,233.4,0.264,61.6,5.996,49.9,0.94
1,2025-04-27 22:38:44+05:30,232.9,0.3,69.9,6.016,49.8,0.98
1,2025-04-27 22:38:45+05:30,234.3,0.331,77.6,6.037,49.9,0.95
1,2025-04-27 22:38:46+05:30,232.8,0.396,92.2,6.063,49.8,0.94
1,2025-04-27 22:38:47+05:30,233.3,0.262,61.1,6.08,49.8,0.92
1,2025-04-27 22:38:48+05:30,233.6,0.451,105.4,6.109,49.6,0.96
1,2025-04-27 22:38:49+05:30,234.2,0.398,93.2,6.135,49.7,0.93
1,2025-04-27 22:38:50+05:30,232.8,0.299,69.6,6.154,49.8,0.96
1,2025-04-27 22:38:51+05:30,234.1,0.334,78.2,6.176,49.8,0.92
1,2025-04-27 22:38:52+05:30,233.5,0.308,71.9,6.196,49.8,0.98
1,2025-04-27 22:38:53+05:30,233.0,0.357,83.2,6.219,50.0,0.92
1,2025-04-27 22:38:54+05:30,233.7,0.502,117.3,6.252,49.9,0.92
1,2025-04-27 22:38:55+05:30,233.6,0.307,71.7,6.271,49.8,0.88
1,2025-04-27 22:38:56+05:30,233.2,0.369,86.1,6.295,49.7,1.0
1,2025-04-27 22:38:57+05:30,233.5,0.28,65.4,6.314,49.8,0.93
1,2025-04-27 22:38:58+05:30,233.3,0.403,94.0,6.34,49.9,0.97
1,2025-04-27 22:38:59+05:30,233.6,0.378,88.3,6.364,49.8,0.87
1,2025-04-27 22:39:00+05:30,233.8,0.483,112.9,6.396,49.8,0.98
1,2025-04-27 22:39:01+05:30,234.3,0.267,62.6,6.413,49.8,0.83
1,2025-04-27 22:39:02+05:30,232.9,0.419,97.6,6.44,49.7,1.0
1,2025-04-27 22:39:03+05:30,234.6,0.476,111.7,6.471,49.7,0.93
1,2025-04-27 22:39:04+05:30,232.5,0.306,71.1,6.491,50.0,0.96
1,2025-04-27 22:39:05+05:30,233.4,0.337,78.7,6.513,49.7,0.94
1,2025-04-27 22:39:06+05:30,233.8,0.369,86.3,6.537,49.8,0.95
1,2025-04-27 22:39:07+05:30,233.6,0.326,76.2,6.558,49.8,0.93
1,2025-04-27 22:39:08+05:30,233.2,0.368,85.8,6.582,49.6,0.97
1,2025-04-27 22:39:09+05:30,233.4,0.417,97.3,6.609,50.0,1.0
1,2025-04-27 22:39:10+05:30,233.3,0.339,79.1,6.631,49.9,0.94
1,2025-04-27 22:39:11+05:30,233.2,0.338,78.8,6.653,49.6,1.0
1,2025-04-27 22:39:12+05:30,233.9,0.377,88.2,6.677,49.8,1.0
1,2025-04-27 22:39:13+05:30,233.7,0.31,72.4,6.697,49.9,0.97
1,2025-04-27 22:39:14+05:30,233.2,0.315,73.5,6.718,49.8,1.0
1,2025-04-27 22:39:15+05:30,233.9,0.26,60.8,6.734,49.9,1.0
1,2025-04-27 22:39:16+05:30,233.7,0.346,80.9,6.757,50.0,0.85
1,2025-04-27 22:39:17+05:30,233.9,0.395,92.4,6.783,49.7,0.94
1,2025-04-27 22:39:18+05:30,233.8,0.323,75.5,6.804,49.8,1.0
1,2025-04-27 22:39:19+05:30,233.1,0.273,63.6,6.821,49.7,0.94
1,2025-04-27 22:39:20+05:30,233.2,0.34,79.3,6.843,49.8,0.93
1,2025-04-27 22:39:21+05:30,233.9,0.39,91.2,6.869,49.8,0.93
1,2025-04-27 22:39:22+05:30,233.8,0.363,84.9,6.892,49.8,0.94
1,2025-04-27 22:39:23+05:30,233.5,0.573,133.8,6.929,49.7,0.92
1,2025-04-27 22:39:24+05:30,233.6,0.284,66.3,6.948,49.9,0.96
1,2025-04-27 22:39:25+05:30,234.1,0.335,78.4,6.97,49.7,0.88
1,2025-04-27 22:39:26+05:30,233.2,0.428,99.8,6.997,49.7,0.94
1,2025-04-27 22:39:27+05:30,233.8,0.281,65.7,7.016,49.9,0.94
1,2025-04-27 22:39:28+05:30,233.4,0.543,126.7,7.051,49.7,0.86
1,2025-04-27 22:39:29+05:30,233.4,0.35,81.7,7.073,49.8,0.94
1,2025-04-27 22:39:30+05:30,234.0,0.406,95.0,7.1,50.0,0.99
1,2025-04-27 22:39:31+05:30,233.9,0.352,82.3,7.123,49.8,0.93
1,2025-04-27 22:39:32+05:30,233.9,0.452,105.7,7.152,49.9,0.91
1,2025-04-27 22:39:33+05:30,234.2,0.244,57.1,7.168,49.7,0.95
1,2025-04-27 22:39:34+05:30,233.5,0.507,118.4,7.201,49.7,1.0
1,2025-04-27 22:39:35+05:30,233.8,0.373,87.2,7.225,49.8,0.97
1,2025-04-27 22:39:36+05:30,233.3,0.416,97.1,7.252,49.7,1.0
1,2025-04-27 22:39:37+05:30,233.7,0.276,64.5,7.27,49.8,0.93
1,2025-04-27 22:39:38+05:30,233.4,0.384,89.6,7.295,49.8,0.95
1,2025-04-27 22:39:39+05:30,233.5,0.253,59.1,7.311,49.8,0.98
1,2025-04-27 22:39:40+05:30,233.8,0.468,109.4,7.342,49.8,0.96
1,2025-04-27 22:39:41+05:30,233.1,0.221,51.5,7.356,49.6,0.89
1,2025-04-27 22:39:42+05:30,234.5,0.365,85.6,7.38,49.7,0.92
